# Matrix dim. 	 Cpu time
     100	     0.01200400
     152	     0.04058100
     181	     0.04888000
     215	     0.07273100
     256	     0.15430799
     304	     0.29487002
     362	     0.38259700
     430	     0.80489397
     512	     1.44282103
     608	     2.02281094
     724	     3.33036113
     861	     6.58262682
    1024	    31.21221920
    1217	    19.46201900
    1448	    33.16269680
    1722	    57.36387630
    2048	   304.04382300
    2435	   177.42497300
    2896	   319.63522300
    3444	   573.18475300
    4096	  2498.08887000
