# Matrix dim. 	 Cpu time
     100	     0.00892000
     152	     0.04003600
     181	     0.05059300
     215	     0.08307499
     256	     0.18443000
     304	     0.33333203
     362	     0.48559001
     430	     0.85810596
     512	     2.16904306
     608	     3.35448027
     724	     6.81187868
     861	    13.35337540
    1024	    42.86011120
    1217	    42.51493840
    1448	    67.91101070
    1722	   130.10673500
    2048	   375.89248700
    2435	   414.98849500
    2896	   702.12622100
    3444	  1278.87207000
    4096	  3040.30786000
