# Matrix dim. 	 Cpu time
     100	     0.00054900
     152	     0.00069000
     181	     0.00111300
     215	     0.00163199
     256	     0.00318199
     304	     0.00369400
     362	     0.00758296
     430	     0.00958300
     512	     0.01781106
     608	     0.02870274
     724	     0.04654503
     861	     0.08080101
    1024	     0.12975311
    1217	     0.22978210
    1448	     0.34786224
    1722	     0.61434937
    2048	     0.97210693
    2435	     1.82342529
    2896	     2.86462402
    3444	     4.84765625
    4096	     7.90527344
