Lambda,time
0.0,0.005755
0.05,0.006267
0.1,0.005286
0.15,0.006789
0.2,0.005563
0.25,0.004146
0.3,0.005932
0.35,0.00453
0.4,0.004738
0.45,0.004606
0.5,0.004196
0.55,0.004414
0.6,0.00453
0.65,0.00444
0.7,0.004547
0.75,0.005656
0.8,0.005548
0.85,0.005003
0.9,0.005367
0.95,0.005425
1.0,0.005074
1.05,0.005176
1.1,0.005513
1.15,0.006007
1.2,0.005361
1.25,0.00605
1.3,0.005547
1.35,0.006756
1.4,0.004987
1.45,0.005743
1.5,0.004598
1.55,0.006656
1.6,0.005255
1.65,0.005522
1.7,0.00549
1.75,0.005972
1.8,0.004473
1.85,0.005526
1.9,0.005417
1.95,0.005772
2.0,0.007161
2.05,0.006136
2.1,0.005089
2.15,0.004793
2.2,0.00689
2.25,0.004655
2.3,0.005859
2.35,0.006727
2.4,0.004931
2.45,0.004553
2.5,0.006228
2.55,0.005647
2.6,0.004234
2.65,0.004308
2.7,0.00613
2.75,0.005449
2.8,0.005031
2.85,0.004192
2.9,0.005402
2.95,0.00501
3.0,0.00438
