Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-9.00000000,    -9.00000000,    -7.00000000,    -7.00000000,    -7.00000000,    -7.00000000
0.05,-9.00750137,    -9.00750137,    -7.10230337,    -7.10230337,    -7.08731450,    -7.08731450
0.1,-9.03002194,    -9.03002194,    -7.21894158,    -7.21894158,    -7.18724464,    -7.18724464
0.15,-9.06761147,    -9.06761146,    -7.34982643,    -7.34982642,    -7.29945608,    -7.29945607
0.2,-9.12035417,    -9.12035397,    -7.49486670,    -7.49486651,    -7.42358332,    -7.42358312
0.25,-9.18837108,    -9.18836929,    -7.65395786,    -7.65395608,    -7.55922497,    -7.55922318
0.3,-9.27182471,    -9.27181396,    -7.82696920,    -7.82695846,    -7.70594421,    -7.70593346
0.35,-9.37092835,    -9.37087993,    -8.01372876,    -8.01368035,    -7.86327929,    -7.86323088
0.4,-9.48596380,    -9.48578764,    -8.21400741,    -8.21383125,    -8.03077151,    -8.03059535
0.45,-9.61731247,    -9.61676936,    -8.42750430,    -8.42696119,    -8.20801933,    -8.20747622
0.5,-9.76550396,    -9.76403910,    -8.65383644,    -8.65237159,    -8.39476613,    -8.39330127
0.55,-9.93128152,    -9.92774790,    -8.89253469,    -8.88900107,    -8.59102063,    -8.58748701
0.6,-10.11566987,    -10.10792849,    -9.14304753,    -9.13530615,    -8.79719070,    -8.78944932
0.65,-10.32000426,    -10.30443967,    -9.40475234,    -9.38918775,    -9.01417803,    -8.99861344
0.7,-10.54584437,    -10.51692486,    -9.67697251,    -9.64805301,    -9.24334195,    -9.21442244
0.75,-10.79468803,    -10.74479775,    -9.95899779,    -9.90910751,    -9.48623436,    -9.43634408
0.8,-11.06749094,    -10.98726068,    -10.25010506,    -10.16987480,    -9.74410582,    -9.66387556
0.85,-11.36419577,    -11.24335087,    -10.54957729,    -10.42873239,    -10.01739152,    -9.89654662
0.9,-11.68357878,    -11.51200188,    -10.85671924,    -10.68514234,    -10.30549793,    -10.13392103
0.95,-12.02352039,    -11.79210641,    -11.17086909,    -10.93945512,    -10.60701080,    -10.37559682
1.0,-12.38149000,    -12.08256963,    -11.49140626,    -11.19248589,    -10.92012590,    -10.62120553
1.05,-12.75496671,    -12.38234799,    -11.81775578,    -11.44513706,    -11.24302956,    -10.87041084
1.1,-13.14167687,    -12.69047345,    -12.14938986,    -11.69818645,    -11.57411013,    -11.12290671
1.15,-13.53967546,    -13.00606527,    -12.48582755,    -11.95221736,    -11.91202548,    -11.37841529
1.2,-13.94734002,    -13.32833294,    -12.82663282,    -12.25569176,    -12.20762575,    -11.69298002
1.25,-14.36332954,    -13.65657338,    -13.17141193,    -12.60424295,    -12.46465578,    -12.03857136
1.3,-14.78653610,    -13.99016482,    -13.51981020,    -12.95698641,    -12.72343892,    -12.38917141
1.35,-15.21604056,    -14.32855918,    -13.87150868,    -13.31336413,    -12.98402730,    -12.74407300
1.4,-15.65107553,    -14.67127404,    -14.22622075,    -13.67292192,    -13.24641925,    -13.10269822
1.45,-16.09099581,    -15.01788477,    -14.58368892,    -14.03528585,    -13.51057788,    -13.46457105
1.5,-16.53525495,    -15.36801737,    -14.94368177,    -14.40014449,    -13.82929603,    -13.77644420
1.55,-16.98338694,    -15.72134189,    -15.30599122,    -14.76723561,    -14.19654199,    -14.04394616
1.6,-17.43499173,    -16.07756671,    -15.67042991,    -15.13633615,    -14.56602929,    -14.31300489
1.65,-17.88972375,    -16.43643350,    -16.03682904,    -15.50725463,    -14.93752007,    -14.58353879
1.7,-18.34728278,    -16.79771290,    -16.40503622,    -15.87982530,    -15.31081053,    -14.85546634
1.75,-18.80740666,    -17.16120072,    -16.77491377,    -16.25390358,    -15.68572493,    -15.12870783
1.8,-19.26986526,    -17.52671473,    -17.14633702,    -16.62936256,    -16.06211077,    -15.50109919
1.85,-19.73445573,    -17.89409191,    -17.51919295,    -17.00609014,    -16.43983496,    -15.87762206
1.9,-20.20099843,    -18.26318601,    -17.89337894,    -17.38398678,    -16.81878074,    -16.25551085
1.95,-20.66933371,    -18.63386553,    -18.26880160,    -17.76296365,    -17.19884517,    -16.63464627
2.0,-21.13931912,    -19.00601192,    -18.64537585,    -18.14294116,    -17.57993708,    -17.01492277
2.05,-21.61082714,    -19.37951808,    -19.02302406,    -18.52384770,    -17.96197536,    -17.39624664
2.1,-22.08374325,    -19.75428699,    -19.40167522,    -18.90561860,    -18.34488760,    -17.77853435
