Lambda,time
0.0,0.150448
0.05,0.178016
0.1,0.166092
0.15,0.194413
0.2,0.160151
0.25,0.158855
0.3,0.167292
0.35,0.167566
0.4,0.188658
0.45,0.161213
0.5,0.154014
0.55,0.180956
0.6,0.192768
0.65,0.16383
0.7,0.192316
0.75,0.143268
0.8,0.191124
0.85,0.239161
0.9,0.224354
0.95,0.241293
1.0,0.24626
1.05,0.229052
1.1,0.240484
1.15,0.156421
1.2,0.192226
1.25,0.207612
1.3,0.160483
1.35,0.201585
1.4,0.170449
1.45,0.14999
1.5,0.218013
1.55,0.203942
1.6,0.162748
1.65,0.147236
1.7,0.196693
1.75,0.160238
1.8,0.163165
1.85,0.194736
1.9,0.170526
1.95,0.158509
2.0,0.157689
2.05,0.199352
2.1,0.177405
2.15,0.182409
2.2,0.174476
2.25,0.16648
2.3,0.207807
2.35,0.19201
2.4,0.159511
2.45,0.211078
2.5,0.199945
2.55,0.156195
2.6,0.189679
2.65,0.147192
2.7,0.150896
2.75,0.15325
2.8,0.151436
2.85,0.151852
2.9,0.14754
2.95,0.141232
3.0,0.152901
